"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"South Dakota","46","2018","2018",114,882235,12.9
,"South Dakota","46","2019","2019",111,884659,12.5
,"South Dakota","46","2020","2020",118,892717,13.2
"Total","South Dakota","46",,,1709,17186169,9.9
,"Tennessee","47","2000","2000",893,5689283,15.7
,"Tennessee","47","2001","2001",842,5750789,14.6
,"Tennessee","47","2002","2002",902,5795918,15.6
,"Tennessee","47","2003","2003",834,5847812,14.3
,"Tennessee","47","2004","2004",867,5910809,14.7
,"Tennessee","47","2005","2005",973,5991057,16.2
,"Tennessee","47","2006","2006",938,6088766,15.4
,"Tennessee","47","2007","2007",922,6175727,14.9
,"Tennessee","47","2008","2008",981,6247411,15.7
,"Tennessee","47","2009","2009",965,6306019,15.3
,"Tennessee","47","2010","2010",926,6346105,14.6
,"Tennessee","47","2011","2011",941,6403353,14.7
,"Tennessee","47","2012","2012",992,6456243,15.4
,"Tennessee","47","2013","2013",1023,6495978,15.7
,"Tennessee","47","2014","2014",1013,6549352,15.5
,"Tennessee","47","2015","2015",1064,6600299,16.1
,"Tennessee","47","2016","2016",1140,6651194,17.1
,"Tennessee","47","2017","2017",1229,6715984,18.3
,"Tennessee","47","2018","2018",1219,6770010,18.0
,"Tennessee","47","2019","2019",1257,6829174,18.4
,"Tennessee","47","2020","2020",1457,6886834,21.2
"Total","Tennessee","47",,,21378,132508117,16.1
,"Texas","48","2000","2000",2145,20851820,10.3
,"Texas","48","2001","2001",2321,21319622,10.9
,"Texas","48","2002","2002",2273,21690325,10.5
,"Texas","48","2003","2003",2395,22030931,10.9
,"Texas","48","2004","2004",2323,22394023,10.4
,"Texas","48","2005","2005",2465,22778123,10.8
,"Texas","48","2006","2006",2402,23359580,10.3
,"Texas","48","2007","2007",2537,23831983,10.6
,"Texas","48","2008","2008",2574,24309039,10.6
,"Texas","48","2009","2009",2665,24801761,10.7
,"Texas","48","2010","2010",2693,25145561,10.7
,"Texas","48","2011","2011",2574,25674681,10.0
,"Texas","48","2012","2012",2715,26059203,10.4
,"Texas","48","2013","2013",2750,26448193,10.4
,"Texas","48","2014","2014",2824,26956958,10.5
,"Texas","48","2015","2015",3179,27469114,11.6
,"Texas","48","2016","2016",3318,27862596,11.9
,"Texas","48","2017","2017",3476,28304596,12.3
,"Texas","48","2018","2018",3483,28701845,12.1
,"Texas","48","2019","2019",3614,28995881,12.5
,"Texas","48","2020","2020",4113,29360759,14.0
"Total","Texas","48",,,58839,528346594,11.1
,"Utah","49","2000","2000",192,2233169,8.6
,"Utah","49","2001","2001",226,2283715,9.9
,"Utah","49","2002","2002",201,2324815,8.6
,"Utah","49","2003","2003",227,2360137,9.6
,"Utah","49","2004","2004",220,2401580,9.2
,"Utah","49","2005","2005",226,2457719,9.2
,"Utah","49","2006","2006",222,2525507,8.8
,"Utah","49","2007","2007",241,2597746,9.3
,"Utah","49","2008","2008",231,2663029,8.7
,"Utah","49","2009","2009",253,2723421,9.3
,"Utah","49","2010","2010",308,2763885,11.1
,"Utah","49","2011","2011",298,2817222,10.6
,"Utah","49","2012","2012",319,2855287,11.2
,"Utah","49","2013","2013",334,2900872,11.5
,"Utah","49","2014","2014",323,2942902,11.0
,"Utah","49","2015","2015",359,2995919,12.0
,"Utah","49","2016","2016",363,3051217,11.9
,"Utah","49","2017","2017",404,3101833,13.0
,"Utah","49","2018","2018",379,3161105,12.0
,"Utah","49","2019","2019",388,3205958,12.1
,"Utah","49","2020","2020",417,3249879,12.8
"Total","Utah","49",,,6131,57616917,10.6
,"Vermont","50","2000","2000",53,608827,8.7
,"Vermont","50","2001","2001",49,612223,8.0
,"Vermont","50","2002","2002",61,615442,9.9
,"Vermont","50","2003","2003",47,617858,7.6
,"Vermont","50","2004","2004",61,619920,9.8
,"Vermont","50","2005","2005",43,621215,6.9
,"Vermont","50","2006","2006",53,622892,8.5
,"Vermont","50","2007","2007",52,623481,8.3
,"Vermont","50","2008","2008",53,624151,8.5
,"Vermont","50","2009","2009",60,624817,9.6
,"Vermont","50","2010","2010",70,625741,11.2
,"Vermont","50","2011","2011",78,626431,12.5
,"Vermont","50","2012","2012",55,626011,8.8
,"Vermont","50","2013","2013",64,626630,10.2
,"Vermont","50","2014","2014",69,626562,11.0
,"Vermont","50","2015","2015",70,626042,11.2
,"Vermont","50","2016","2016",76,624594,12.2
,"Vermont","50","2017","2017",70,623657,11.2
,"Vermont","50","2018","2018",80,626299,12.8
,"Vermont","50","2019","2019",64,623989,10.3
,"Vermont","50","2020","2020",76,623347,12.2
"Total","Vermont","50",,,1304,13070129,10.0
,"Virginia","51","2000","2000",789,7078515,11.1
,"Virginia","51","2001","2001",761,7198362,10.6
,"Virginia","51","2002","2002",800,7286873,11.0
,"Virginia","51","2003","2003",805,7366977,10.9
,"Virginia","51","2004","2004",810,7475575,10.8
,"Virginia","51","2005","2005",880,7577105,11.6
,"Virginia","51","2006","2006",802,7673725,10.5
,"Virginia","51","2007","2007",812,7751000,10.5
,"Virginia","51","2008","2008",806,7833496,10.3
,"Virginia","51","2009","2009",820,7925937,10.3
,"Virginia","51","2010","2010",864,8001024,10.8
,"Virginia","51","2011","2011",853,8096604,10.5
,"Virginia","51","2012","2012",828,8185867,10.1
,"Virginia","51","2013","2013",855,8260405,10.4
,"Virginia","51","2014","2014",877,8326289,10.5
,"Virginia","51","2015","2015",934,8382993,11.1
,"Virginia","51","2016","2016",1038,8411808,12.3
,"Virginia","51","2017","2017",1028,8470020,12.1
,"Virginia","51","2018","2018",1030,8517685,12.1
,"Virginia","51","2019","2019",1019,8535519,11.9
,"Virginia","51","2020","2020",1167,8590563,13.6
"Total","Virginia","51",,,18578,166946342,11.1
,"Washington","53","2000","2000",519,5894121,8.8
,"Washington","53","2001","2001",504,5985722,8.4
,"Washington","53","2002","2002",560,6052349,9.3
,"Washington","53","2003","2003",559,6104115,9.2
,"Washington","53","2004","2004",561,6178645,9.1
,"Washington","53","2005","2005",555,6257305,8.9
,"Washington","53","2006","2006",537,6370753,8.4
,"Washington","53","2007","2007",542,6461587,8.4
,"Washington","53","2008","2008",578,6562231,8.8
,"Washington","53","2009","2009",601,6667426,9.0
,"Washington","53","2010","2010",594,6724540,8.8
,"Washington","53","2011","2011",598,6830038,8.8
,"Washington","53","2012","2012",665,6897012,9.6
,"Washington","53","2013","2013",613,6971406,8.8
,"Washington","53","2014","2014",680,7061530,9.6
,"Washington","53","2015","2015",705,7170351,9.8
,"Washington","53","2016","2016",667,7288000,9.2
,"Washington","53","2017","2017",818,7405743,11.0
,"Washington","53","2018","2018",787,7535591,10.4
,"Washington","53","2019","2019",814,7614893,10.7
,"Washington","53","2020","2020",840,7693612,10.9
"Total","Washington","53",,,13297,141726970,9.4
,"West Virginia","54","2000","2000",239,1808344,13.2
,"West Virginia","54","2001","2001",248,1801481,13.8
,"West Virginia","54","2002","2002",270,1805414,15.0
,"West Virginia","54","2003","2003",264,1812295,14.6
,"West Virginia","54","2004","2004",250,1816438,13.8
,"West Virginia","54","2005","2005",260,1820492,14.3
,"West Virginia","54","2006","2006",251,1827912,13.7
,"West Virginia","54","2007","2007",266,1834052,14.5
,"West Virginia","54","2008","2008",236,1840310,12.8
,"West Virginia","54","2009","2009",251,1847775,13.6
,"West Virginia","54","2010","2010",269,1852994,14.5
,"West Virginia","54","2011","2011",272,1855364,14.7
,"West Virginia","54","2012","2012",269,1855413,14.5
,"West Virginia","54","2013","2013",273,1854304,14.7
,"West Virginia","54","2014","2014",279,1850326,15.1
,"West Virginia","54","2015","2015",270,1844128,14.6
,"West Virginia","54","2016","2016",321,1831102,17.5
,"West Virginia","54","2017","2017",343,1815857,18.9
,"West Virginia","54","2018","2018",339,1805832,18.8
,"West Virginia","54","2019","2019",294,1792147,16.4
,"West Virginia","54","2020","2020",320,1784787,17.9
"Total","West Virginia","54",,,5784,38356767,15.1
,"Wisconsin","55","2000","2000",429,5363675,8.0
,"Wisconsin","55","2001","2001",470,5406835,8.7
,"Wisconsin","55","2002","2002",438,5445162,8.0
,"Wisconsin","55","2003","2003",462,5479203,8.4
,"Wisconsin","55","2004","2004",411,5514026,7.5
,"Wisconsin","55","2005","2005",470,5546166,8.5
,"Wisconsin","55","2006","2006",415,5577655,7.4
,"Wisconsin","55","2007","2007",482,5610775,8.6
,"Wisconsin","55","2008","2008",435,5640996,7.7
,"Wisconsin","55","2009","2009",453,5669264,8.0
,"Wisconsin","55","2010","2010",492,5686986,8.7
,"Wisconsin","55","2011","2011",442,5711767,7.7
,"Wisconsin","55","2012","2012",477,5726398,8.3
,"Wisconsin","55","2013","2013",563,5742713,9.8
,"Wisconsin","55","2014","2014",481,5757564,8.4
,"Wisconsin","55","2015","2015",608,5771337,10.5
,"Wisconsin","55","2016","2016",656,5778708,11.4
,"Wisconsin","55","2017","2017",608,5795483,10.5
,"Wisconsin","55","2018","2018",586,5813568,10.1
,"Wisconsin","55","2019","2019",589,5822434,10.1
,"Wisconsin","55","2020","2020",708,5832655,12.1
"Total","Wisconsin","55",,,10675,118693370,9.0
,"Wyoming","56","2000","2000",58,493782,11.7
,"Wyoming","56","2001","2001",69,494657,13.9
,"Wyoming","56","2002","2002",95,500017,19.0
,"Wyoming","56","2003","2003",87,503453,17.3
,"Wyoming","56","2004","2004",55,509106,10.8
,"Wyoming","56","2005","2005",71,514157,13.8
,"Wyoming","56","2006","2006",80,522667,15.3
,"Wyoming","56","2007","2007",75,534876,14.0
,"Wyoming","56","2008","2008",93,546043,17.0
,"Wyoming","56","2009","2009",96,559851,17.1
,"Wyoming","56","2010","2010",92,563626,16.3
,"Wyoming","56","2011","2011",96,568158,16.9
,"Wyoming","56","2012","2012",117,576412,20.3
,"Wyoming","56","2013","2013",102,582658,17.5
,"Wyoming","56","2014","2014",91,584153,15.6
,"Wyoming","56","2015","2015",112,586107,19.1
,"Wyoming","56","2016","2016",101,585501,17.3
,"Wyoming","56","2017","2017",112,579315,19.3
,"Wyoming","56","2018","2018",123,577737,21.3
,"Wyoming","56","2019","2019",131,578759,22.6
,"Wyoming","56","2020","2020",151,582328,25.9
"Total","Wyoming","56",,,2007,11543363,17.4
"Total",,,,,699410,6467316479,10.8
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"UCD - ICD-10 Codes: W32 (Handgun discharge); W33 (Rifle, shotgun and larger firearm discharge); W34 (Discharge from other and"
"unspecified firearms); X72 (Intentional self-harm by handgun discharge); X73 (Intentional self-harm by rifle, shotgun and larger"
"firearm discharge); X74 (Intentional self-harm by other and unspecified firearm discharge); X93 (Assault by handgun discharge);"
"X94 (Assault by rifle, shotgun and larger firearm discharge); X95 (Assault by other and unspecified firearm discharge); Y22"
"(Handgun discharge, undetermined intent); Y23 (Rifle, shotgun and larger firearm discharge, undetermined intent); Y24 (Other and"
"unspecified firearm discharge, undetermined intent)"
"Year/Month: 2000; 2001; 2002; 2003; 2004; 2005; 2006; 2007; 2008; 2009; 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018;"
"2019; 2020"
"Group By: State; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Oct 26, 2025 9:25:44 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Oct 26, 2025 9:25:44 PM"
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"5. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"7. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"8. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
